PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ACTIVE|DESCRIPTION|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_01|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Consider utilizing unbranded section to create tension to treat early and intensively<br><li>Uncover next steps and goals for patients with T2D on metformin<br><li>Share every dose is SUPERIOR to Ozempic 1mg for A1C reduction, starting at 5mg dose<br><li>Share the SUPERIOR weight reduction<br><li>Share the A1C Threshold data (<7%, <=6.5%, <5.7%)</ul><br><b>Recommended Resources:</b><br><ul><li>A1C/Weight Core VAE<br><li> A1C 7% and 6.5% Core VAE</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_02|Y||Actual_text|<b>Call Goal: Prescribe Mounjaro first after metformin instead of Ozempic</b><br><ul><li> Uncover limiting beliefs by asking: "In your experience, for a patient like this with an A1C of 7.5-8.5%, how different is Mounjaro's A1C and weight reduction compared to Ozempic 1mg?"<br><li> Share the following and confirm value back to the next eligible patient:<br><ul><li> 6.5% and 5.7% Composite Data</ul></ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_03|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Ask how the results for this patient could've been different if they were started on Mounjaro first<br><li>Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose<br><li>SUPERIOR weight reduction<br><li>Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA<br><li>Share 6.5% and 5.7% Composite Data</ul><br><b>Recommended Resources:</b><br><ul><li>A1C <7% and <=5.7% Core VAE<br><li>MOA Core VAE<br><li>MOA Video</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_04|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA<br><li>Every dose is SUPERIOR to Ozempic 1mg for A1C reduction, starting at 5mg dose<br><li>SUPERIOR weight reduction<br><li>Share the A1C Threshold data (<7%,<=6.5%, <5.7%)</ul><br><b>Recommended Resources:</b><br><ul><li>A1C/Weight Core VAE<br><li>Send A1C 7% and 6.5% Core VAE<br><li>Consider inviting HCP to a P2P program</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_08|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Uncover any efficacy limiting beliefs for a patient with an A1C of 7.5-8.5%<br><li>Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA<br><li>Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose<br><li>SUPERIOR weight reduction<br><li>Share the A1C Threshold data (<7%,<=6.5%, <5.7%)</ul><br><b>Recommended Resources:</b><br><ul><li>A1C/weight Core VAE<br><li>For Staff : Utilize your formulary IVA to call out top plans and build confidence in the HCPs % PREFERRED access</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_MNJ_DT_10|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Uncover why HCP reaches for Ozempic after metformin for a patient with a 7.5-8.5% A1C<br><li>Share every dose is SUPERIOR to Ozempic 1mg for A1C reduction, starting at 5mg dose<br><li>Share the SUPERIOR weight reduction<br><li>Share the A1C Threshold data (<7%,<=6.5%, <5.7%)</ul><br><b>Recommended Resources:</b><br><ul><li>A1C <7% and <=6.5% Core VAE<br><li>A1C/Weight Core VAE</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_ES4_MNJ_T2D_03|Y||Actual_text|<br><b>Recommended Discussion Topics:</b><br><ul><li>Ask how the results for this patient could've been different if they were started on Mounjaro first<br><li>Every dose is SUPERIOR to Ozempic 1mg for A1C reduction, starting at 5mg dose<br><li>SUPERIOR weight reduction<br><li>Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA<br><li>Share 6.5% and 5.7% Composite Data</ul><br><b>Recommended Resources:</b><br><ul><li>A1C <7% and <5.7% Core VAE<br><li>MOA Core VAE<br><li>MOA Video</ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_ES4_MNJ_T2D_05|Y||Actual_text|<b>Call Goal: Prescribe Mounjaro first after metformin (or as preferred incretin for SPEC) instead of Ozempic</b><br><ul><li> The HCP might attribute it to supply issues, but underlying this is an efficacy-limiting belief<br><li> Uncover the efficacy limiting belief for a patient with an A1C of 7.5-8.5% by asking "Is there any reason why you wouldn’t choose Mounjaro over Ozempic for this patient?"<br><li> Share the following to uncover an opportunity and expand where HCP currently uses Mounjaro:<br><ul><li> Unbranded Section - create tension & urgency to treat early<br><li> A1C threshold data (<=6.5%, <5.7%), weight data, & <=6.5% & <5.7% composite data</ul></ul>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_ES4_MNJ_T2D_08|Y||Actual_text|<b>Call Goal: Prescribe Mounjaro first after metformin instead of their currently preferred 2nd line treatment</b><br><ul><li> Uncover if the HCP believes Mounjaro has SUPERIOR A1C and weight reduction by asking: "In your experience, how different is Mounjaro's A1C & weight reduction compared to Ozempic 1mg for a patient like this with an A1C of 7.5-8.5%?"<br><li> Share the following and confirm value back to next eligible patient:<br><ul><li> A1C Threshold data, Absolute weight reduction, Composite endpoints</ul><li> For Staff: Utilize your formulary IVA to share top plans and build confidence in the HCP's % PREFERRED access<br>||
ACTION_TEXTS_DT||BU|LDO|Placeholder_text|LDODT_ES4_MNJ_T2D_12|Y||Actual_text|<b>Call Goal: Prescribe Mounjaro first after metformin</b><br><ul><li> Set up brand patient and uncover limiting beliefs by asking: "In your experience, for a patient like this with an A1C of 7.5-8.5%, what’s your next treatment of choice?"<br><li> Utilize the most compelling and differentiating pieces of Efficacy data- A1C Threshold data, Absolute weight reduction, composite endpoints and uncover the opportunity to expand where the HCP is currently prescribing Mounjaro</ul>||
