QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement,ES
1,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,dimension1,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select a.cnt1 - b.cnt2 from (
select cast(count(*) as int) as cnt1, 1 as joinn from src
)a
join
(select cast(count(*) as int) as cnt2, 1 as joinn from hcp_universe where kaiser_opt_flg = 'NO' 
and (npp_target = 'YES' or pp_target = 'YES')
) b on a.joinn = b.joinn",,,Mismatch in # of HCPs,SIT: count check hcp_universe_ml_out
2,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml",,,Not Applicable,INFO : Distinct Channels
3,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,cadence, count(*) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml where 
from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'yyyy-MM-dd') >='DQM_CADENCE_START_DATE'
and from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'yyyy-MM-dd') <= 'DQM_CADENCE_END_DATE'
and rationale = 'AI_DRIVEN'
group by channel, cadence",,,Not Applicable,INFO : # of recommendations for current week
4,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel,from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'u') from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml",,,Not Applicable,SIT: Validate blackout dates are applied (OMNICHANN-2411)
5,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and mlr_approved_flg =0",,,Records without MLR approved consent present," Detailed check for this query is ""SIT: HCP LEVEL Constarints - MLR Approval"""
6,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and incentivised_flg =0 and UPPER(TRIM(channel)) not in ('HQ_EMAIL','MEDSCAPE_EMAIL','MEDSCAPE_ALERT','DOXIMITY_ALERT','EPOCRATES_ALERT','MEDSCAPE_POC','DOXIMITY_DOCSPOT')",,,Records without incentiviced consent present,"Detailed check for this query is ""SIT:HCP LEVEL Constarints - Incentivised """
7,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and brnd_email_opt_flg = 'YES' and UPPER(TRIM(channel)) not in ('F2F_CALL','HQ_EMAIL','MEDSCAPE_ALERT','DOXIMITY_ALERT','EPOCRATES_ALERT','MEDSCAPE_POC','DOXIMITY_DOCSPOT')",,,Records without brand email opt consent present,"Detailed check for this query is ""SIT: HCP LEVEL Constarints - BRND EMAIL"""
8,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and corp_email_opt_flg = 'YES' and UPPER(TRIM(channel)) not in ('F2F_CALL','HQ_EMAIL','MEDSCAPE_ALERT','DOXIMITY_ALERT','EPOCRATES_ALERT','MEDSCAPE_POC','DOXIMITY_DOCSPOT')",,,Records without corporate email opt consent present," Detailed check for this query is ""SIT: HCP LEVEL Constarints - CORP_EMAIL """
9,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and colorado_opt_flg = 'YES' and UPPER(TRIM(channel)) not in ('F2F_CALL','HQ_EMAIL','VEEVA_EMAIL')",,,Records without COLORADO consent present," Detailed check for this query is ""SIT: HCP LEVEL Constarints - COLORADO'"
10,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct channel) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'
and vermont_opt_flg = 'YES' and UPPER(TRIM(channel)) not in ('F2F_CALL','HQ_EMAIL','VEEVA_EMAIL')",,,Records without VERMONT opt consent present," Detailed check for this query is ""SIT: HCP LEVEL Constarints - VERMONT"""
11,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,segment,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct segment from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml inner join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale ='AI_DRIVEN'",,,Not Applicable,Valiate NPP segment in recommendations
12,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select a.cnt1 - b.cnt2 from
(select cast(count(*) as int) as cnt1,1 as joinn from random_tactic_assignment) a
join
(select cast(count(*) as int) as cnt2,1 as joinn from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel,
ml.dimension2 as content,
ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml 
where rationale = 'AI_DRIVEN'
and channel in ('HQ_EMAIL','DOXIMITY_ALERT','MEDSCAPE_ALERT','MEDSCAPE_EMAIL','EPOCRATES_ALERT','MEDSCAPE_POC','DOXIMITY_DOCSPOT','VEEVA_EMAIL')
and from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'yyyy-MM-dd') <=  'DQM_CADENCE_END_DATE') b
on a.joinn = b.joinn",,,Mismatch # of recommendations after tactic assignment,
13,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/Random_Tactics_assignment_post_suppression/,random_tactic_assignment,",",parquet,channel_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel_id,content_type_id,assigned_tactic from src",,,Not Applicable,SIT: Validate tactics recommended for HQ and SOA channels (OMNICHANN-2423)
14,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/Random_Tactics_assignment_post_suppression/,random_tactic_assignment,",",parquet,pp_segment,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct npp_segment, verso_tactic_id,mm as customer_segment from src
left join 
(select verso_tactic_id,mm from cap_extract lateral view explode(split(customer_segment,"";"")) m as mm) cap
on cap.verso_tactic_id = assigned_tactic
left join hcp_universe on hcp_universe.customer_id = src.customer_id
where mm <> ''",,,Not Applicable,Validate customer segment assigned in tactic assignment algorithm
15,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/Recent_Tactics_assignment/,recent_tactic_engagement,",",parquet,assigned_tactic,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select A.*, tactic_start_date,tactic_end_date from 
(select assigned_tactic,count(*) from src group by assigned_tactic) A 
left join cap_extract on assigned_tactic = verso_tactic_id",,,Not Applicable,Check tactics assigned after engagement based logic
16,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/Eng_based_Tactic_assignment_13_weeks/,eng_based_tactic_assignment_13_weeks,",",parquet,primary_category,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select A.*, data_source_code,primary_category, engagement_rate from 
(select assigned_tactic,count(*) from src group by assigned_tactic) A 
left join cap_extract on assigned_tactic = verso_tactic_id
left join tactic_engagement_rate on tactic_id = A.assigned_tactic",,,Not Applicable,Check content type assigned for each tactic and channel
17,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/Eng_based_Tactic_assignment_13_weeks/,eng_based_tactic_assignment_13_weeks,",",parquet,exposed_on,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct exposed_on from src
left join interaction_history on interaction_history.customer_id = src.customer_id
and src.assigned_tactic = content_id",,,Not Applicable,Check tactic recommended in engagement based are not receive by the HCP in last 13 or 6 wk
18,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,channel,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select segment,channel, max(tp) as ml_tp from (
select ml.customer_id,segment,channel,count(*) as tp from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, 
ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml 
left join hcp_universe on ml.customer_id=hcp_universe.customer_id
where rationale = 'AI_DRIVEN'
group by segment, channel,ml.customer_id) A
group by a.segment, channel) B
left outer join
(select distinct segment,dimension_value,cast(max as int) as htc_tp from hcp_touchpoint_constraints where 
upper(trim(dimension)) = 'DIMENSION1'
and upper(trim(product)) = 'US_304528'
and upper(trim(brand_indication)) = 'DERM') C 
on upper(trim(b.segment)) = upper(trim(c.segment)) and upper(trim(b.channel)) = upper(trim(c.dimension_value))
where ml_tp > htc_tp",,,Error : Maximum touchpoint exceeded,
19,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select CAST(COUNT(distinct customer_id)as int) from src
union all
select CAST(count(distinct lilly_person_id)as int) from ldg_derm_tgt where indication_id='DS150'",,,Not Applicable,SIT: Validate PP Targets (hcp univ vs target file) (OMNICHANN-2448)
20,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select CAST(COUNT(distinct customer_id)as int) from src
union all
select CAST(count(distinct lilly_person_id)as int) from ( select distinct lilly_person_id,
case when UPPER(TRIM(mce_segment)) in ('PRACTICAL TREATERS','CONFINED ADVOCATES','PSORIATIC EXPLORERS') 
and is_target ='Y' then 'YES' ELSE 'NO' end as npp_segment
from ldg_derm_tgt where indication_id='DS150')a",,,Not Applicable,SIT: Validate NPP Targets (hcp univ vs target file) (OMNICHANN-2449)
21,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,refresh_date,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct refresh_date, next_execution_on from src",,,Not Applicable,SIT: Validate 4C Output Refresh Date (OMNICHANN-2407)
