Placeholder_text|Original_Text
LDODT_ES4_MNJ_T2D_03|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Ask how the results for this patient could&#39;ve been different if they were started on Mounjaro first&lt;br&gt;&lt;li&gt;Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Share 6.5% and 5.7% Composite Data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C &lt;7% and &lt;=5.7% Core VAE&lt;br&gt;&lt;li&gt;MOA Core VAE&lt;br&gt;&lt;li&gt;MOA Video&lt;/ul&gt;
LDODT_ES4_MNJ_T2D_05|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Uncover any efficacy or supply limiting beliefs for a patient with an A1C of 7.5-8.5%&lt;br&gt;&lt;li&gt;Consider asking: In your experience, how different is Mounjaro&#39;s A1C &amp; weight reduction compared to Ozempic for a patient with an A1C of 7.5-8.5% ?&lt;br&gt;&lt;li&gt;Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Share 6.5% and 5.7% Composite Data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/Weight Core VAE &lt;/ul&gt;
LDODT_ES4_MNJ_T2D_08|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Uncover if the HCP believes Mounjaro has SUPERIOR A1C and weight reduction: In your experience, how different is Mounjaro&#39;s A1C &amp; weight reduction compared to Ozempic for a patient with an A1C of 7.5-8.5% ?&lt;br&gt;&lt;li&gt; For Staff: Utilize your formulary IVA to call out top plans and build confidence in the HCP&#39;s % PREFERRED access&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Mounjaro - Favorable Access for IVA&lt;/ul&gt;
LDODT_ES4_MNJ_T2D_12|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;In your experience, how different is Mounjaro&#39;s A1C weight reduction compared to Ozempic for a patient with an A1C of 7.5-8.5% ?&lt;br&gt;&lt;li&gt;Every Dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Share the A1C Threshold data (&lt;7%,&lt;=6.5%, &lt;5.7%)&lt;br&gt;&lt;li&gt;Share 6.5% and 5.7% Composite Data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/Weight Core VAE&lt;br&gt;&lt;li&gt;For Staff : Utilize your formulary IVA to call out top plans and build confidence on the HCP&#39;s % PREFERRED access&lt;/ul&gt;
LDODT_ES4_MNJ_T2D_13|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;After engaging in an efficacy discussion utilize your formulary IVA to call out top plans and build confidence in the HCP&#39;s % PREFERRED access&lt;br&gt;&lt;li&gt;Look at Tableau and call out HCP&#39;s top two plans with the biggest opportunity&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Mounjaro - Medicare for IVA&lt;br&gt;&lt;li&gt;Follow up with plan specific VAE for biggest opportunity plan&lt;/ul&gt;
LDODT_MNJ_DT_01|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Consider utilizing unbranded section to create tension to treat early and intensively&lt;br&gt;&lt;li&gt;Uncover next steps and goals for patients with T2D on metformin&lt;br&gt;&lt;li&gt;Share every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;Share the SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share the A1C Threshold data (&lt;7%,&lt;=6.5%, &lt;5.7%)&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/Weight VAE&lt;br&gt;&lt;li&gt; A1C 7% and 6.5% Core VAE&lt;/ul&gt;
LDODT_MNJ_DT_02|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Uncover what a Mounjaro vs Ozempic patient looks like&lt;br&gt;&lt;li&gt;Share every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;Share the SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share 6.5% and 5.7% Composite Data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/Weight&lt;br&gt;&lt;li&gt;Send A1C 7% and 6.5% Core VAE&lt;/ul&gt;
LDODT_MNJ_DT_03|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Ask how the results for this patient could&#39;ve been different if they were started on Mounjaro first&lt;br&gt;&lt;li&gt;Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Share 6.5% and 5.7% Composite Data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C &lt;7% and &lt;=5.7% Core VAE&lt;br&gt;&lt;li&gt;MOA Core VAE&lt;br&gt;&lt;li&gt;MOA Video&lt;/ul&gt;
LDODT_MNJ_DT_04|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share the A1C Threshold data (&lt;7%,&lt;=6.5%, &lt;5.7%)&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/Weight Core VAE&lt;br&gt;&lt;li&gt;Send A1C 7% and 6.5% Core VAE&lt;br&gt;&lt;li&gt;Consider inviting HCP to a P2P program&lt;/ul&gt;
LDODT_MNJ_DT_08|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Uncover any efficacy limiting beliefs for a patient with an A1C of 7.5-8.5%&lt;br&gt;&lt;li&gt;Share Mounjaro WORKS DIFFERENTLY than a GLP-1 RA&lt;br&gt;&lt;li&gt;Every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share the A1C Threshold data (&lt;7%,&lt;=6.5%, &lt;5.7%)&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C/weight Core VAE&lt;br&gt;&lt;li&gt;For Staff : Utilize your formulary IVA to call out top plans and build confidence in the HCPs % PREFERRED access&lt;/ul&gt;
