QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement
1,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select dates from(
select case when cnt=2 then 0 else cnt end as dates from(
select count( distinct sugg_posted_date) as cnt from pri_sugg
where 'current_date'!='PO_START_DATE'
)a
union 
select case when cnt=1 then 0 else cnt end as dates from(
select count( distinct sugg_posted_date) as cnt from pri_sugg
where 'current_date'=='PO_START_DATE'
)a)b order by dates desc limit 1",NA,NA,BR :  Multiple execution dates.||Error resolution tip : Check the suggestion posted dates in Pri_Sugg file
2,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select 
case when days=0 then 0
else 1 end as run_date
from (select distinct 
from_unixtime(unix_timestamp(sugg_posted_date,'yyyy-MM-dd'),'u') - 1 
as days from pri_sugg)a
cross join 
(select case when cnt=1 then 0 else cnt end as dates from(
select count(*) as cnt from
(select distinct 
from_unixtime(unix_timestamp(sugg_posted_date,'yyyy-MM-dd'),'u') - 1 
as days from pri_sugg)a
)b)c
where dates=0",NA,NA,Not Applicable
3,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,External suggestions are not present,Active,NA,NA,NA,prerequisite condition,"select count (*) from (select entities.`values`['customer'].id as hcp_id,
entities.`values`['product'].id as prod_id,rep_id,metric_group_sk,count(1) from pri_sugg
where rep_id is not NULL
GROUP BY entities.`values`['customer'].id ,
entities.`values`['product'].id ,rep_id,metric_group_sk
having count(1) > 1) a",NA,NA,BR :  Duplicates at hcp-rep-prod and metric_group_sk level in Pri Sugg||Error resolution tip : Check duplicate entries in Pri_sugg on the above mentioned criterias
4,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(
select distinct metric_group_sk from pri_sugg 
where (insights.insight_text[0] like '%â%' or action_text like '%â%') and metric_group_type='BusinessRule'
union all
select distinct metric_group_sk from pri_sugg 
where (insights.insight_text[0] like '%Â%' or action_text like '%Â%') and metric_group_type='BusinessRule'
union all
select distinct metric_group_sk from pri_sugg 
where (insights.insight_text[0] like '%€%' or action_text like '%€%') and metric_group_type='BusinessRule'
union all 
select distinct metric_group_sk from pri_sugg 
where (insights.insight_text[0] like '%™%' or action_text like '%™%') and metric_group_type='BusinessRule'
union all
select distinct metric_group_sk 
from pri_sugg where (trim(action_text) = '' or action_text is null or trim(insights.insight_text[0]) = '' or insights.insight_text[0] is null) and metric_group_type='BusinessRule'
)a",NA,NA,BR :  Invalid action or insight text for BR suggestions||Error resolution tip : Check for special characters in the texts in Pri_Sugg file.
5,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from (select guid,count(1) from pri_sugg
where rep_id is not null
GROUP BY guid
having count(1) > 1) a",NA,NA,"BR :  Duplicates found at GUID level||Error resolution tip : Check duplicate entries in Pri_sugg on the ""Guid"" level."
6,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,select count(1) from external_suggestion a left join pri_sugg b on a.external_suggestion_guid = b.guid where b.guid is null and 'current_date' = 'PO_START_DATE',NA,NA,BR :  PI Insights are missing in pri_sugg file||Error resolution tip : Check if PI insights are present in Pri_sugg file or not.
7,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from(select
external_suggestion_guid
from external_suggestion
except
select
cast(guid as string) as guid
from pri_sugg where metric_group_type='External'
)a where 'current_date' = 'PO_START_DATE'",NA,NA,BR :  Mismatch between PI insights and pri_sugg output||Error resolution tip : Check if PI insights are present in Pri_sugg file or not.
8,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,select count(1) from pri_sugg where priority_score not BETWEEN 0 and 1,NA,NA,BR :  pSTAR score is not between 0-1||Error resolution tip : Check priority_score column of pri_sugg file.
9,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(rp.rep_id) from 
(select distinct rep_id from rep_alignment)rp 
left join (select distinct rep_id from pri_sugg) ps 
on rp.rep_id = ps.rep_id
where ps.rep_id is null",NA,NA,BR :  Reps found with zero suggestions||Error resolution tip : Check for reps who are present in Rep alignment and not in Pri_Sugg file.
10,Post,US_BR,data/context_key=US_CONTEXT/source=customer/,hcp_master,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(1) from hcp_master tgt
left join (
select distinct trim(upper(customer_id)) as customer_id from ldg_taltz_hcp_attribute
union 
select distinct trim(upper(customer_id)) as customer_id from LDG_LEBRI_HCP_ATTRIBUTES
union 
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_osa_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mnj_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_jar_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mnj_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from ldg_jar_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from ldg_obs_weekly_trigger
union
select distinct trim(upper(customer_id)) as customer_id from ldg_dbu_weekly_trigger
union
select distinct trim(upper(customer_id)) as customer_id from ldg_dbu_predictive_triggers
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zepbound_trigger_payer_br
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mounjaro_trigger_payer_br
union
select distinct trim(upper(customer_id)) as customer_id from US_HCP_GA_ANALYTICS
union
select distinct trim(upper(customer_id)) as customer_id from ldg_jaypirca_hcp_attributes
union
select distinct trim(upper(customer_id)) as customer_id from ldg_verzenio_hcp_attributes
union
select distinct trim(upper(customer_id)) as customer_id from ldg_trigger_metric
union
select distinct trim(upper(customer_id)) as customer_id from ldg_ad_hcp_attributes
) src
on src.customer_id = tgt.customer_id
where src.customer_id is null",NA,NA,BR :  HCP Master does not contain all HCPs from Attribute files||Error resolution tip : Check all Input attribute files and HCP masters for HCPs who are present in HCP master file but not in attribute files.
