QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement
1,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=customer/,hcp_master,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(1) from src tgt

left join (
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_osa_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mnj_tgt
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zep_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mnj_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from ldg_obs_weekly_trigger
union
select distinct trim(upper(customer_id)) as customer_id from ldg_dbu_weekly_trigger
union
select distinct trim(upper(customer_id)) as customer_id from ldg_dbu_predictive_triggers
union
select distinct trim(upper(customer_id)) as customer_id from ldg_zepbound_trigger_payer_br
union
select distinct trim(upper(customer_id)) as customer_id from ldg_mounjaro_trigger_payer_br
union
select distinct trim(upper(customer_id)) as customer_id from ldg_taltz_hcp_attribute
union
select distinct trim(upper(customer_id)) as customer_id from LDG_LEBRI_HCP_ATTRIBUTES
union 
select distinct trim(upper(customer_id)) as customer_id from LDG_LEBRI_TRIGGERS_PAYER_BR_METRICS
union 
select distinct trim(upper(customer_id)) as customer_id from LDG_JAYPIRCA_HCP_ATTRIBUTES
union 
select distinct trim(upper(customer_id)) as customer_id from LDG_VERZENIO_HCP_ATTRIBUTES
union
select distinct trim(upper(customer_id)) as customer_id from LDG_TRIGGER_METRIC
union
select distinct trim(upper(customer_id)) as customer_id from LDG_AD_HCP_ATTRIBUTES
union
select distinct trim(upper(customer_id)) as customer_id from US_HCP_GA_ANALYTICS
) src2

on src2.customer_id = tgt.customer_id

where src2.customer_id is null",NA,NA,BR :  HCP Master does not contain all HCPs from Attribute files||Error resolution tip : Check all Input attribute files and HCP masters for HCPs who are present in HCP master file but not in attribute files.
2,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from(

select value1 from

(select distinct

cast(concat(v2.config_value,'_',v.config_value,'_',m.attribute_value1) as string) as value1

from (select * from m_prod_xref where BUSINESS_UNIT='US_LDO'

and source_name='TEAM_RESP_CD' and active ='Y') m

inner join

(

select salesforce_id,sleeve_name,business_unit_id,trim(brand_id) as brand_id from

(

select salesforce_id,sleeve_name,business_unit_id,

split(brand_id,';') AS brnd_id from team_resp_code

)t1

LATERAL VIEW explode(brnd_id) id AS brand_id

)t2 on concat(t2.salesforce_id,'_',t2.brand_id) = m.source_product_name and source_name='TEAM_RESP_CD'

--and active = 'Y'

inner join m_verso_cnfg v on v.config_type = t2.salesforce_id and v.PARAMETER_TYPE = 'RESP CODE MAPPING'

inner join m_verso_cnfg v2 on v2.config_type = t2.business_unit_id and v2.parameter_type='BU MAPPING'

and v2.attribute_value2=t2.salesforce_id

)t3



except



select concat(business_unit_id,'_',salesforce_id,'_',product_id) as value2 from rep_alignment

)a",NA,NA,"BR : BU-SF-product mapping is incorrect in alignment file||Error resolution tip : Check for the metadata files M_PROD_XREF, M_VERSO_CONFIG or code level changes in Rep_Alignment code"
3,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=customer/,hcp_master,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from(

select count(*),customer_id from hcp_master group by customer_id having count(*)>1)a",NA,NA,BR : Customer File is not unique on customer_id||Error resolution tip : Check if there are duplicate entries in HCP_MASTER at Customer_Id level
4,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=entities_attributes/,entity_attributes,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from (

select count(*),customer_id, product_id from entity_attributes group by customer_id, product_id having count(*)>1) a",NA,NA,"BR : Entity and Attributes File not unique on customer_id and product_id||Error resolution tip : Check for duplicate entries on Customer_id, Product_id level in Entity_attributes file."
5,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(

select count(*),customer_id, product_id, salesforce_id, rep_id,sugg_posted_date, business_unit_id from rep_alignment

where rep_id is not null

group by customer_id, product_id, salesforce_id, rep_id,sugg_posted_date, business_unit_id having count (*)>1) a",NA,NA,BR : Rep Alignment FIle is not unique on customer_id-product_id-rep_id-business_unit_id||Error resolution tip : Check for duplicate entries on customer_id-product_id-rep_id-business_unit_id level.
6,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_based_metrics/,pp,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(

select count(*),customer_id,product_id, rep_id from src group by customer_id,product_id, rep_id having count (*)>1) a",NA,NA,"BR : Rep based mterics File is not unique on customer_id : product_id : rep_id||Error resolution tip : Check Rep_based_metrics (PP metrics) file has duplicates at customer_id,Product_id and rep_id level."
7,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=time_based_metrics/,npp,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(

select count(*),customer_id,product_id, start_time, end_time, time_grain from src

group by customer_id,product_id, start_time, end_time, time_grain having count (*)>1) a",NA,NA,"BR : Time based metrics File is not unique on customer_id : product_id : start_time : end_time||Error resolution tip : Check Time based metrics (NPP metrics) file for duplicates at customer_id, Product_Id, start_time, end_time."
8,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(

(select distinct customer_id from rep_alignment)

except

select distinct customer_id from

(select a.customer_id from hcp_rep_terr a

inner join

(select customer_id, salesforce_code from sftu) b

on UPPER(a.customer_id) = UPPER(b.customer_id)

and UPPER(a.salesforce_id) = UPPER(b.salesforce_code)
)t1)t2

where 'current_date'='PO_START_DATE'",NA,NA,BR : Rep alignment file does not contain all HCPs from SFTU and HCP_Terr files||Error resolution tip : Check Rep_Alignment for missing HCPs who are present in SFTU and HCP_Terr files
9,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*) from (
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from rep_alignment
except
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from po_alignment
) t 
where 'current_date' != 'PO_START_DATE'",NA,NA,"BR : Additional HCP-Terr combinations found in non-PO refresh alignment file||Error resolution tip : Check for unique combinations of customer, product and territory"
10,Post,US_BR_ETL,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from (

select distinct concat(customer_id,'_',product_id,'_',territory_sk) from po_alignment

except

select distinct concat(customer_id,'_',product_id,'_',territory_sk) from rep_alignment

) t

where 'current_date' != 'PO_START_DATE'",NA,NA,"BR : PO refresh HCP-Terr alignments are missing||Error resolution tip : Check for unique combinations of customer, product, and territory from the rep_alignment table, excluding excluding  customer, product and territory in rep_alignment."
